Src,Species,Duration,Bitrate ,Sampling Rate,Channels
https://www.xeno-canto.org/sounds/uploaded/RKAYEOOLQW/120306_04_GreatTit_call_Fiby_N5.mp3,Parus major,23 s,bitrate: 320000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/kjottmeissang110312-027.mp3,Parus major,19 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/kjottmeis_cal110312l-027.mp3,Parus major,22 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/PMAJ08h47m04s03mar2012%20%282%29.mp3,Parus major,63 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/AXTFCLIYDF/es0353y%20mp3.mp3,Parus major,112 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/PMAJ09h25m39s25feb2012%20%282%29.mp3,Parus major,45 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/AXTFCLIYDF/es0357%20mp3.mp3,Parus major,80 s,bitrate: 256000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/greatttit-024feb24.mp3,Parus major,11 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/Tit-Great-110118-010.mp3,Parus major,23 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/Tit-Great-110118-014.mp3,Parus major,44 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/Tit-Great-120212-000.mp3,Parus major,15 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/great_tit-009varsel.mp3,Parus major,5 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/GreatTit-FL%20song%20Ninfield%20ESussex%2010Feb12%20LS110136.mp3,Parus major,32 s,bitrate: 64000 bps, audio sampling rate: 48000 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/GreatTit-FL%20%28seen%29%20StanmerPark%204Feb12%20LS110084.mp3,Parus major,4 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/GreatTit-FL%20%28seen%29%20StanmerPark%204Feb12%20LS110077.mp3,Parus major,86 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/GreatTit-FL%20%28seen%29%20StanmerPark%204Feb12%20LS110071.mp3,Parus major,57 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/GreatTit-FL%20Selsey%20Sussex%201Feb12%20LS110035.mp3,Parus major,25 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/GreatTit-FL%20X%20Westdene%20Brighton%2025Dec11-2.mp3,Parus major,36 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/GreatTit-FL%20X%20Westdene%20Brighton%2025Dec11.mp3,Parus major,50 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/GreatTit-FL%20nrPrestonParkStn%20Brighton%2025Dec11.mp3,Parus major,62 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/CoalTit-FL%20AcresDown%2028Jan12-LS110017%20%282%29.mp3,Parus major,93 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/CoalTit-FL%20AcresDown%2028Jan12-LS110019.mp3,Parus major,9 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/KLADBSYAFL/188%20Parus%20major%2C%20Corenc%2C%20Vence%20%28France%29%2C%2008-04-11.mp3,Parus major,51 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RKAYEOOLQW/110604_02bc_GreatTit_ArikeFyriss.mp3,Parus major,20 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RKAYEOOLQW/100320_GreatTit_Ostervala.mp3,Parus major,55 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/RKAYEOOLQW/110702_04b_GreatTit_VangeOstfora.mp3,Parus major,35 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RKAYEOOLQW/110622_14_GreatTit-begging_Uppsala.mp3,Parus major,59 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/KLADBSYAFL/91%20Parus%20major%2C%20youngs%20in%20nest%2C%20Vence%20%28France%29%2028-05-11.mp3,Parus major,42 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/KLADBSYAFL/90%20Parus%20major%2C%20Vence%20%28France%29%2028-05-11.mp3,Parus major,36 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/KLADBSYAFL/89%20Parus%20major%2C%20Vence%2C%20%28France%29%2024-04--10.mp3,Parus major,18 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/KLADBSYAFL/88%20Parus%20major%2C%20Mai%20swamp%2C%20Tullins%20%28France%29%2C%2003-05-06.mp3,Parus major,59 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/KLADBSYAFL/87%20Parus%20major%2C%20les%20Thivolieres%2C%20Vourey%20%28France%29%2005-03-03.mp3,Parus major,43 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/KLADBSYAFL/86%20Parus%20major%2C%20les%20Thivolieres%2C%20Vourey%20%28France%29%2024-03-01.mp3,Parus major,17 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/KLADBSYAFL/85%20Parus%20major%20%28song%29%2C%20Moirans%20%28France%29%2001-04-00.mp3,Parus major,35 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/OXVGHRJWBF/LS110370.mp3,Parus major,40 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/OH38YHKJBS/Koolmees_zang_2_types_Meijendel_25042011_1400.mp3,Parus major,40 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/HBPYQXTJEV/Take461_Kohlmeise_ViernheimerH_2011_04_23-9Uhr10.mp3,Parus major,46 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/PMAJ13h20m55s06mar2011%20%282%29.mp3,Parus major,48 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/PMAJ12h24m36s02mar2011%20%282%29.mp3,Parus major,13 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/GRGVLVKPOL/Great%20Tit%20-%20Blind%20Lane.mp3,Parus major,23 s,bitrate: 128000 bps, audio sampling rate: 22050 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/GRGVLVKPOL/GreatTit2.mp3,Parus major,9 s,bitrate: 128000 bps, audio sampling rate: 22050 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/GRGVLVKPOL/GreatTit-stressed.mp3,Parus major,32 s,bitrate: 128000 bps, audio sampling rate: 22050 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/XAMHIHFTZG/cinciallegra21.mp3,Parus major,24 s,bitrate: 129521 bps, audio sampling rate: 48000 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/XAMHIHFTZG/cinciallegra4.mp3,Parus major,10 s,bitrate: 134932 bps, audio sampling rate: 48000 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/Tit-Great-110208-001.mp3,Parus major,58 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/PMAJ10h50m32s18dec2010%20%282%29.mp3,Parus major,36 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/Parus%20major%20June86-1.mp3,Parus major,34 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/HBPYQXTJEV/Take411ViernhHeideGreatTit04-09-2010-18Uhr35.mp3,Parus major,14 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/HBPYQXTJEV/Take410ViernhHeideGreatTit04-09-2010-18Uhr35.mp3,Parus major,10 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/QTJCIDJUEK/XC597880-mes%20cha%20ping%20call.mp3,Parus major,12 s,bitrate: 87040 bps, audio sampling rate: 44100 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/POVKNQVSGU/XC597800-Parus%20major_nervous%20call_24_10_20_Cerro%20de%20S%C3%A3o%20Miguel%20%28online-audio-converter.com%29.mp3,Parus major,41 s,bitrate: 128082 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC596063-LS_56157%20Koolmees%20call%20B%20Winterkoning%20C.mp3,Parus major,19 s,bitrate: 192000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/OQZFKFTAKD/XC595666-KOHLMEISEN%2C%20Rhythmen%2C%2010.05.2011%20%20Peine%2C%20Fontanestra%C3%9Fe%20%2016_38%20%20%20LS101124-126%20%20Peine.mp3,Parus major,134 s,bitrate: 320000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RWHGTWZNPX/XC595255-Parusmajor-m-cs_poland_psz_9.25_200114-8060.mp3,Parus major,517 s,bitrate: 320000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RWHGTWZNPX/XC595253-Parusmajor-m-cs_poland_psz_12.30_200405-8070.mp3,Parus major,94 s,bitrate: 320000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/ITHRUQEQCF/XC594573-1010_1623_Cinciallegra%20song_Bosco%20Rubano_Disturbo%20aereo.mp3,Parus major,68 s,bitrate: 186617 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/PQDMTRPGRL/XC594478-200922-006_HP10NR5N6_20h07_Pmajor.mp3,Parus major,14 s,bitrate: 320000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/BQPBFGQYFF/XC594415-12.mp3,Parus major,21 s,bitrate: 89439 bps, audio sampling rate: 44100 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/UBDTVCWYPJ/XC594353-200930_003_301839_Koolmees.mp3,Parus major,17 s,bitrate: 153119 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/AXTFCLIYDF/XC593392-555590-%C3%B6-14high.mp3,Parus major,49 s,bitrate: 319793 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/XC593260-bogatka%20%C5%BBwak%C3%B3w%20%20%206.10.2020%20%20%2017.40.mp3,Parus major,19 s,bitrate: 320000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/XC593243-bogatka%20%C5%BBwak%C3%B3w%20%20%206.10.2020%20%20%2015.30.mp3,Parus major,61 s,bitrate: 320000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/MALWTCTYXD/XC593198-20100602CarboneroComunMP3.mp3,Parus major,39 s,bitrate: 111823 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/WXEEFPSPJM/XC593044-200424_2079%20Vouille%CC%81%20P%2028%20me%CC%81sange%20charbonnie%CC%80re.mp3,Parus major,28 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/QTJCIDJUEK/XC592592-mes%20cha%20begging%20call1.mp3,Parus major,42 s,bitrate: 87154 bps, audio sampling rate: 44100 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/XC592293-PARMAJ_200824_6121_Limans04.mp3,Parus major,9 s,bitrate: 278653 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RFGQDPLDEC/XC592152-Kj%C3%B8ttmeis%20XC%20Refsal%20Stange%20Elias%20A.%20Ryberg%2020200914133622_022.mp3,Parus major,128 s,bitrate: 320000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/REYARLBAKR/XC591231-200923_0754_Kohlmeise.mp3,Parus major,4 s,bitrate: 224000 bps, audio sampling rate: 44100 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/XC591220-bogatka%20%C5%BBwak%C3%B3w%2027.09.2020%20%20%208.12.mp3,Parus major,17 s,bitrate: 320000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/COLBPWBRIF/XC590941-2020092223_Tarnos_FC_m%C3%A9sange%20charbonni%C3%A8re%200702.mp3,Parus major,2 s,bitrate: 320000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/XC590754-bogatka%20%C5%BBwak%C3%B3w%20%2024.09.2020%20%20%20%207.05.mp3,Parus major,42 s,bitrate: 320000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/UBDTVCWYPJ/XC588875-200913_001_130925_Koolmees.mp3,Parus major,15 s,bitrate: 153590 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/JXZFXAZWHY/XC588786-jaworowy3.bez%20nazwy.mp3,Parus major,30 s,bitrate: 320000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/AXTFCLIYDF/XC588724-strolNusS3-36782mp3%20%2812%29.mp3,Parus major,167 s,bitrate: 314651 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/AXTFCLIYDF/XC588722-strolNusS3-36782mp3%20%2811%29.mp3,Parus major,76 s,bitrate: 316405 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/AXTFCLIYDF/XC588451-strolNusS3-36782mp3%20%284%29.mp3,Parus major,47 s,bitrate: 319796 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/AXTFCLIYDF/XC588448-strolNusS3-36782mp3%20%281%29.mp3,Parus major,25 s,bitrate: 319857 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RFGQDPLDEC/XC587758-Kj%C3%B8ttmeis%20XC%202%20Refsal%20Stange%20Elias%20A.%20Ryberg20200910135914_009.mp3,Parus major,81 s,bitrate: 320000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RFGQDPLDEC/XC587676-Kj%C3%B8ttmeis%20XC%20Refsal%20Stange%20Elias%20A.%20Ryberg20200910135632_008.mp3,Parus major,75 s,bitrate: 320000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/HRVQAOEHRR/XC587476-Great%20tit.mp3,Parus major,143 s,bitrate: 136605 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/QTJCIDJUEK/XC587416-mes%20cha%20begging%20call.mp3,Parus major,33 s,bitrate: 93337 bps, audio sampling rate: 44100 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/UBDTVCWYPJ/XC586751-200904_001_041401_koolmees.mp3,Parus major,18 s,bitrate: 146668 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/XC586724-bogatka%20%C5%BBwak%C3%B3w%205.09.2020%20%208.50.mp3,Parus major,32 s,bitrate: 320000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/XC586723-bogatka%20%C5%BBwak%C3%B3w%205.09.2020%20%208.39.mp3,Parus major,44 s,bitrate: 320000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/XC586224-bogatka%20%C5%BBwak%C3%B3w%203.09.2020%20%209.50.mp3,Parus major,54 s,bitrate: 320000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/XC586223-bogatka%20%C5%BBwak%C3%B3w%203.09.2020%20%209.54.mp3,Parus major,26 s,bitrate: 320000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/XC586222-bogatka%20%C5%BBwak%C3%B3w%203.09.2020%20%209.40.mp3,Parus major,46 s,bitrate: 320000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/UZPPJBQXCQ/A%20Rufe.mp3,Parus major,29 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/AXTFCLIYDF/XC584882-31743-b-%C3%9C-26--%C3%B6-01.mp3,Parus major,141 s,bitrate: 319695 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/XC584033-bogatka%20Glinka%2022.08.2020%20%20%205.55.mp3,Parus major,42 s,bitrate: 320000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/EJIITXAJNY/XC583661-Koolmees%20200408%20Kalmthoutse%20heide.mp3,Parus major,44 s,bitrate: 140026 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/XC583551-bogatka%20%20%2019.08.2020%20%20%20Glinka%20%20%2019.00.mp3,Parus major,22 s,bitrate: 320000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/UBDTVCWYPJ/XC583061-200815_002_160658_koolmees.mp3,Parus major,10 s,bitrate: 156287 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/UBDTVCWYPJ/XC583059-200815_002_160653_koolmees.mp3,Parus major,14 s,bitrate: 156082 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/OQZFKFTAKD/XC581932-KOHLMEISE%20%201.05.2020%20%20Egelsee%20%206_25%20%20VOC_200501-0706.mp3,Parus major,416 s,bitrate: 320000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/XC581788-bogatka%20%C5%9Al%C4%99%C5%BC%C4%85%2011.08.2020%20%20%2011.45.mp3,Parus major,17 s,bitrate: 320000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/XC581787-b.mp3,Parus major,17 s,bitrate: 320000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/UBDTVCWYPJ/XC581463-200804_002_050626_koolmees.mp3,Parus major,22 s,bitrate: 150998 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/UBDTVCWYPJ/XC581462-200804_002_050625_koolmees.mp3,Parus major,11 s,bitrate: 151988 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/UBDTVCWYPJ/XC581370-200803_001_040545_koolmees.mp3,Parus major,10 s,bitrate: 154977 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/HRVQAOEHRR/XC581079-Great%20Tit1.mp3,Parus major,136 s,bitrate: 143148 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/POVKNQVSGU/XC580546-Parus%20major_mimicry%20L.%20megarynchos_01_08_20_Campos%20do%20Lis%20%28online-audio-converter.com%29.mp3,Parus major,22 s,bitrate: 128153 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/XC580188-bogatka%20%20Gocza%C5%82kowice%20Zdr%C3%B3j%20%2031.07.2020%20%20%2019.25.mp3,Parus major,31 s,bitrate: 320000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/TJSRKPHQNP/XC579036-0621_144755.mp3,Parus major,37 s,bitrate: 320000 bps, audio sampling rate: 48000 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/XC577741-Parus%20major%20%20200712_005%2C%20AABB%20juv%20call.MP3,Parus major,136 s,bitrate: 192000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/XC576575-PARMAJ170720-T004%20%282%29.mp3,Parus major,105 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/UBPDRKNCJF/XC575137-Parmaj%20Chania%2020200504_125051.mp3,Parus major,25 s,bitrate: 251906 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/XC574915-M%C3%A9sange%20charbonni%C3%A8re%20200521_0700_1SA_Marais%20d%27Harchies_Pommeroeul_Mixpre%20461.mp3,Parus major,3 s,bitrate: 182953 bps, audio sampling rate: 44100 Hz, number of channels: 2
